YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 06 23 298  7.3  9.7  4.24 14.29  8.51 999 1011.6  23.4  25.2 999.0 99.0
98 01 07 00 301  8.5 10.3  4.58 16.67  9.23 999 1010.6  23.8  25.2 999.0 99.0
98 01 07 01 296  7.2  8.7  4.51 16.67  8.94 999 1010.3  23.7  25.2 999.0 99.0
98 01 07 02 303  7.6  9.4  4.77 16.67  9.59 999 1010.4  23.5  25.2 999.0 99.0
98 01 07 03 321  8.1 10.0  4.82 16.67  9.70 999 1010.8  23.9  25.2 999.0 99.0
98 01 07 04 319  7.7  9.7  5.06 14.29  9.53 999 1011.4  23.4  25.2 999.0 99.0
98 01 07 05 323  7.2  9.1  4.67 16.67  9.10 999 1012.2  23.4  25.2 999.0 99.0
98 01 07 06 343  7.6  9.7  4.82 14.29  9.39 999 1012.8  23.1  25.2 999.0 99.0
98 01 07 07 330  8.9 10.5  5.18 14.29  9.57 999 1013.8  23.3  25.2 999.0 99.0
98 01 07 08 333  7.7  9.5  5.53 16.67 10.26 999 1013.8  23.1  25.2 999.0 99.0
98 01 07 09 328  6.9  9.2  5.00 14.29  9.82 999 1014.1  23.1  25.2 999.0 99.0
98 01 07 10 337  5.7  7.5  4.39 16.67  9.20 999 1014.2  23.3  25.2 999.0 99.0
98 01 07 11 345  6.0  8.3  4.74 14.29  9.34 999 1013.9  23.1  25.2 999.0 99.0
98 01 07 12 351  5.8  7.1  4.73 14.29  9.78 999 1013.7  23.1  25.2 999.0 99.0
98 01 07 13 345  6.1  7.6  5.07 14.29 10.03 999 1013.3  23.0  25.2 999.0 99.0
98 01 07 14 350  4.1  5.8  5.57 14.29 10.67 999 1013.1  22.9  25.1 999.0 99.0
98 01 07 15 342  5.5  7.0  4.49 12.50  9.24 999 1013.2  23.2  25.1 999.0 99.0
98 01 07 16 351  5.3  6.9  4.66 14.29 10.01 999 1013.8  23.0  25.2 999.0 99.0
98 01 07 17   7  5.1  6.8  4.42 14.29  9.50 999 1014.4  22.9  25.1 999.0 99.0
98 01 07 18 358  4.9  6.9  4.28 14.29  9.18 999 1015.2  23.1  25.2 999.0 99.0
98 01 07 19   3  4.7  6.0  4.14 12.50  9.16 999 1016.1  23.3  25.1 999.0 99.0
98 01 07 20   6  5.8  8.1  3.80 14.29  9.12 999 1016.2  23.5  25.2 999.0 99.0
98 01 07 21 355  4.9  7.0  3.69 14.29  9.22 999 1016.0  23.3  25.2 999.0 99.0
98 01 07 22   9  5.2  6.5  3.52 14.29  9.00 999 1015.6  23.4  25.2 999.0 99.0
98 01 07 23  10  6.1  8.3  3.10 14.29  8.36 999 1014.5  22.8  25.2 999.0 99.0
98 01 08 00 346  2.8  4.3  3.58 12.50  9.51 999 1013.6  22.8  25.3 999.0 99.0
98 01 08 01   7  5.9  9.2  3.11 12.50  8.59 999 1013.2  23.3  25.3 999.0 99.0
98 01 08 02  18  4.6  6.2  3.09 12.50  8.55 999 1012.8  22.8  25.2 999.0 99.0
98 01 08 03  21  5.2  6.4  3.14 12.50  8.70 999 1013.0  23.1  25.2 999.0 99.0
98 01 08 04   6  4.1  5.5  2.90 12.50  8.61 999 1013.4  22.9  25.2 999.0 99.0
98 01 08 05  20  3.5  5.0  3.05 12.50  8.75 999 1013.7  23.1  25.2 999.0 99.0
98 01 08 06  12  3.9  5.8  2.71 12.50  8.57 999 1014.2  22.9  25.2 999.0 99.0
