YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 10 02  36  6.8  8.3  3.61 16.67  9.05 999 1014.1  23.9  25.5 999.0 99.0
1999 01 10 03  35  7.3  8.5  4.08 16.67  9.77 999 1014.4  24.1  25.5 999.0 99.0
1999 01 10 04  34  6.9  8.4  4.28 16.67 10.41 999 1015.1  24.1  25.5 999.0 99.0
1999 01 10 05  38  7.8  9.1  3.29 16.67  8.13 999 1016.0  23.9  25.4 999.0 99.0
1999 01 10 06  44  8.0  9.5  3.78 16.67  9.17 999 1016.8  23.6  25.4 999.0 99.0
1999 01 10 07  44  7.9  9.1  3.63 16.67  8.64 999 1017.6  23.9  25.4 999.0 99.0
1999 01 10 08  42  7.4  8.7  3.79 16.67  9.16 999 1017.9  23.8  25.4 999.0 99.0
1999 01 10 09  35  8.8 10.4  3.56 16.67  8.98 999 1018.0  23.8  25.4 999.0 99.0
1999 01 10 10  36  7.8  9.0  4.14 16.67  9.31 999 1017.7  24.0  25.4 999.0 99.0
1999 01 10 11  34  7.2  8.3  4.46 16.67 10.05 999 1017.4  24.1  25.4 999.0 99.0
1999 01 10 12  44  7.0  8.7  4.11 16.67  9.49 999 1017.4  23.7  25.4 999.0 99.0
1999 01 10 13  36  7.2  9.0  3.89 16.67  8.97 999 1017.1  23.6  25.4 999.0 99.0
1999 01 10 14  41  7.2  8.6  4.00 16.67  9.51 999 1016.3  23.5  25.3 999.0 99.0
1999 01 10 15  36  7.2  8.9  3.78 14.29  9.18 999 1015.7  23.7  25.3 999.0 99.0
1999 01 10 16  26  7.6  8.8  4.02 16.67  9.28 999 1016.1  23.7  25.4 999.0 99.0
1999 01 10 17  28  7.7  9.2  4.23 14.29  9.43 999 1016.5  23.3  25.3 999.0 99.0
1999 01 10 18  40  8.5 10.3  3.38 16.67  8.54 999 1017.0  23.7  25.4 999.0 99.0
1999 01 10 19  53  8.1 10.0  3.88 14.29  9.13 999 1017.7  23.9  25.3 999.0 99.0
1999 01 10 20  40  7.3  8.9  4.17 14.29  8.92 999 1018.3  24.1  25.4 999.0 99.0
1999 01 10 21  40  7.8  9.7  3.99 14.29  8.59 999 1018.2  24.2  25.3 999.0 99.0
1999 01 10 22  40  7.0  8.4  3.57 16.67  8.41 999 1018.0  24.1  25.3 999.0 99.0
