#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 08 22 00 117  8.9 10.4  2.30  9.09  5.59 999 1018.2 999.0  25.5 999.0 99.0 99.00
2008 01 08 23 00 124  8.0  9.9  2.29  8.33  5.81 999 1017.5 999.0  25.5 999.0 99.0 99.00
2008 01 09 00 00 113  7.1  8.5  2.21  9.09  5.66 999 1016.7 999.0  25.6 999.0 99.0 99.00
2008 01 09 01 00 103  6.0  7.3  2.20  9.09  6.10 999 1016.4 999.0  25.6 999.0 99.0 99.00
2008 01 09 02 00 103  6.0  6.9  2.33 10.00  6.46 999 1016.4 999.0  25.5 999.0 99.0 99.00
2008 01 09 03 00 101  5.9  7.2  2.52  8.33  6.64 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 01 09 04 00  89  6.2  7.7  2.31  9.09  6.36 999 1016.8 999.0  25.4 999.0 99.0 99.00
2008 01 09 05 00  88  6.3  7.3  2.25  9.09  6.57 999 1017.5 999.0  25.4 999.0 99.0 99.00
2008 01 09 06 00  96  6.3  7.9  2.30  9.09  6.53 999 1018.0 999.0  25.4 999.0 99.0 99.00
2008 01 09 07 00  97  6.9  8.5  2.13  8.33  6.53 999 1018.6 999.0  25.4 999.0 99.0 99.00
2008 01 09 08 00 101  6.8  8.4  1.99  9.09  6.28 999 1019.0 999.0  25.4 999.0 99.0 99.00
2008 01 09 09 00  99  6.9  8.3  2.31 10.00  6.62 999 1019.1 999.0  25.4 999.0 99.0 99.00
2008 01 09 10 00  99  6.4  8.1  2.25  9.09  6.44 999 1018.7 999.0  25.4 999.0 99.0 99.00
2008 01 09 11 00  94  6.7  8.6  2.43 10.00  6.56 999 1018.4 999.0  25.4 999.0 99.0 99.00
2008 01 09 12 00  98  6.6  8.5  2.41  9.09  6.56 999 1018.2 999.0  25.4 999.0 99.0 99.00
